shield_length_m,decay_volume_length_m,best_significance,best_mass_mev,best_epsilon,best_signal,best_background,benchmark_signal_total,benchmark_significance_total
1.0,6.0,10.77864255595965,5.0,3e-05,500522.6445578236,232170.09752311738,106437.1905160468,5.016010213341817
1.0,5.0,10.639685974010245,5.0,3e-05,494069.9845391855,232170.09752311738,100484.20873890274,4.745819064319831
1.0,4.0,10.3589926752691,5.0,3e-05,481035.56471626484,232170.09752311738,92110.83368460227,4.368570250115844
1.0,3.0,9.782385434369425,5.0,3e-05,454259.9313665234,232170.09752311738,80221.78550850847,3.836084706151439
1.0,2.0,8.571286659306201,5.0,3e-05,398020.7195577767,232170.09752311738,63133.093303168156,3.0711356796612446
1.5,6.0,7.226713361655069,5.0,3e-05,335583.4154864886,232170.09752311738,87544.87241835646,4.007276402429661
1.5,5.0,7.128442785075205,5.0,3e-05,331020.07194702036,232170.09752311738,82510.53788386856,3.77788717323972
1.5,4.0,6.931311242669603,5.0,3e-05,321865.9692463923,232170.09752311738,75457.75795582721,3.4589893203088624
1.5,3.0,6.5299640973527415,5.0,3e-05,303228.80473177007,232170.09752311738,65493.28947676806,3.011520608918385
1.0,1.0,5.9478363461944115,5.0,3e-05,276196.81810009864,232170.09752311738,38109.17481111654,1.9280134011654853
1.5,2.0,5.696988309572232,5.0,3e-05,264548.3083716774,232170.09752311738,51265.10484921038,2.375189841216921
2.0,6.0,4.900507329434865,5.0,3e-05,227562.50385606708,232170.09752311738,72592.96960102035,3.283103637888154
2.0,5.0,4.830806209765261,5.0,3e-05,224325.826457726,232170.09752311738,68328.01570493057,3.087996812176344
2.0,4.0,4.691849627815822,5.0,3e-05,217873.16643908634,232170.09752311738,62375.033927786186,2.817805663154344
2.0,3.0,4.411156329074661,5.0,3e-05,204838.74661616486,232170.09752311738,54001.65887348563,2.4405568489503566
1.5,1.0,3.92265079571506,5.0,3e-05,182154.24992106983,232170.09752311738,30648.48797268537,1.4471983241936375
2.0,2.0,3.83454908817501,5.0,3e-05,178063.11326642457,232170.09752311738,42112.61069739188,1.9080713049859517
2.5,6.0,3.353630486261393,5.0,3e-05,155730.9272608906,232170.09752311738,60515.41507228581,2.726305323591433
2.5,5.0,3.3040625659399963,5.0,3e-05,153429.1655654182,232170.09752311738,56896.384445671225,2.5600780782360273
2.5,4.0,3.2057919893601623,5.0,3e-05,148865.82202595138,232170.09752311738,51862.04991118309,2.330688849046076
2.5,3.0,3.0086604469545293,5.0,3e-05,139711.71932532187,232170.09752311738,44809.26998314184,2.011790996115226
2.0,1.0,2.6234503131117584,5.0,3e-05,121823.90145767659,232170.09752311738,25023.918492051802,1.1431222784957666
2.5,2.0,2.6073133016376935,5.0,3e-05,121074.5548107008,232170.09752311738,34844.80150408272,1.564322284724748
3.0,6.0,2.3123913730263608,5.0,3e-05,107379.40694024658,232170.09752311738,50644.61069570536,2.2818239387201604
3.0,5.0,2.277057016323105,5.0,3e-05,105738.6023983904,232170.09752311738,47569.05110896854,2.1399813593923867
3.0,4.0,2.2073558966534885,5.0,3e-05,102501.92500004878,232170.09752311738,43304.09721287879,1.9448745336805782
3.0,3.0,2.068399314704063,5.0,3e-05,96049.26498140971,232170.09752311738,37351.11543573448,1.6746833846585807
3.0,2.0,1.787706015962894,5.0,3e-05,83014.8451584879,232170.09752311738,28977.74038143378,1.2974345704545873
2.5,1.0,1.774337513857171,5.0,3e-05,82394.05845060754,232170.09752311738,20616.616876525077,0.9279915170232846
3.5,6.0,1.6045356149546495,5.0,3e-05,74509.04927172551,232170.09752311738,42516.16367000489,1.9195237459458665
3.5,5.0,1.5792929724042144,5.0,3e-05,73336.86881028273,232170.09752311738,39898.79819576059,1.798313806568142
3.5,4.0,1.5297250520828216,5.0,3e-05,71035.10711481048,232170.09752311738,36279.767569146126,1.632086561212742
3.5,3.0,1.4314544755029914,5.0,3e-05,66471.76357534384,232170.09752311738,31245.433034658072,1.402697332022794
3.5,2.0,1.2343229330973633,5.0,3e-05,57317.66087471457,232170.09752311738,24192.653106616657,1.083799479091937
3.0,1.0,1.2110987750632396,5.0,3e-05,56239.21180874742,232170.09752311738,17088.69220534004,0.7649490264901835
3.5,1.0,0.8329757877805192,5.0,3e-05,38680.49636009311,232170.09752311738,14228.184627557666,0.6363307677014635
